datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff
2019-05-17,280.1895,-2.975981e-05,1.876932e-05,2.0646362e-06,7.282888e-05,0.00018000789,0.3437407,0.00016085044
2019-05-18,280.66086,-2.2135104e-05,1.685526e-05,1.531368e-06,5.1104445e-05,0.00016501654,0.33076355,-1.4991354e-05
2019-05-19,278.96085,-2.9687913e-05,2.2968277e-05,1.0862238e-05,0.0001114112,0.0011157077,0.35360783,0.0009506912
2019-05-20,280.11475,-2.6842506e-05,1.3860016e-05,8.015927e-06,3.7644364e-05,0.0007793872,0.36117983,-0.0003363205
2019-05-21,279.20596,-2.3741388e-05,2.9762605e-05,2.5267827e-05,0.0001812738,0.0020082733,0.36805633,0.0012288861
2019-05-22,280.43875,-2.7216656e-05,1.6261172e-05,2.3877046e-05,4.1105206e-05,0.0017640755,0.38919458,-0.00024419778
2019-05-23,284.31647,-3.244564e-05,1.1514608e-05,7.5636844e-06,1.5042189e-05,0.00039153732,0.3717793,-0.0013725382
2019-05-24,285.54623,-3.369798e-05,1.0138447e-05,1.1758672e-06,6.0922434e-06,6.819732e-05,0.34791318,-0.00032334
2019-05-25,283.5662,-3.1652355e-05,9.441208e-06,1.2997195e-07,2.795434e-06,6.519196e-06,0.32929397,-6.167812e-05
2019-05-26,280.53955,-2.821503e-05,2.1107435e-05,4.0961375e-05,0.00017527847,0.0027748544,0.36937678,0.0027683352
2019-05-27,283.9875,-2.9288465e-05,1.3484623e-05,1.7800463e-05,4.6684003e-05,0.0006134383,0.39164108,-0.0021614162
2019-05-28,285.23465,-3.2691016e-05,1.1383757e-05,2.3077798e-06,2.290269e-05,0.00011926872,0.37587923,-0.0004941696
2019-05-29,287.31302,-3.7315946e-05,9.372702e-06,2.674204e-07,1.6780654e-05,9.486398e-06,0.35577357,-0.00010978232
2019-05-30,287.2829,-3.8011294e-05,1.1699697e-05,1.2532906e-08,3.5134664e-05,2.112683e-07,0.34229022,-9.27513e-06
2019-05-31,287.8757,-3.6641384e-05,9.0996045e-06,0.0,1.6699441e-05,0.0,0.3406894,-2.112683e-07
2019-06-01,290.7268,-3.8569062e-05,8.718121e-06,0.0,1.1825506e-05,0.0,0.32282063,0.0
2019-06-02,291.59622,-3.928274e-05,8.527541e-06,0.0,9.5918085e-06,0.0,0.3070502,0.0
2019-06-03,291.60703,-3.9285318e-05,7.860319e-06,0.0,3.4862285e-06,0.0,0.2896588,0.0
2019-06-04,291.1456,-3.9376602e-05,7.4643335e-06,0.0,5.11188e-10,0.0,0.2681942,0.0
2019-06-05,291.7985,-3.6744488e-05,7.30148e-06,0.0,1.9467692e-09,0.0,0.24739492,0.0
2019-06-06,287.50055,-2.6426946e-05,8.068107e-06,0.0,1.8596187e-05,0.0,0.23606788,0.0
2019-06-07,281.665,-2.5227979e-05,7.291474e-06,7.333668e-08,7.0365213e-06,4.0830955e-06,0.23827787,4.0830955e-06
2019-06-08,282.5555,-2.6328655e-05,6.8895856e-06,6.3006674e-08,1.0049686e-06,6.238442e-06,0.23244554,2.1553465e-06
2019-06-09,287.87564,-2.956057e-05,6.686453e-06,1.1023335e-08,0.0,4.2920668e-08,0.2227276,-6.195521e-06
2019-06-10,291.62756,-2.9947747e-05,6.529618e-06,0.0,0.0,0.0,0.2156785,-4.2920668e-08
2019-06-11,294.49615,-2.9936598e-05,6.3803286e-06,0.0,8.066612e-10,0.0,0.21001843,0.0
2019-06-12,295.22897,-2.9627681e-05,6.351519e-06,0.0,4.0789614e-06,0.0,0.20608883,0.0
2019-06-13,294.4799,-2.756304e-05,6.1925525e-06,0.0,3.3276337e-06,0.0,0.20331046,0.0
2019-06-14,292.8522,-2.8274697e-05,6.1105484e-06,0.0,2.9074902e-06,0.0,0.2022085,0.0
2019-06-15,292.8599,-2.8126198e-05,5.9417607e-06,0.0,1.2050851e-06,0.0,0.1971295,0.0
2019-06-16,292.9737,-2.765262e-05,5.9825684e-06,0.0,3.1128038e-06,0.0,0.19707666,0.0
2019-06-17,293.00778,-2.7519378e-05,5.656064e-06,0.0,1.0281464e-06,0.0,0.19304602,0.0
2019-06-18,293.6311,-2.5815933e-05,5.450893e-06,0.0,0.0,0.0,0.1850289,0.0
2019-06-19,292.55212,-2.4923736e-05,5.3334334e-06,0.0,0.0,0.0,0.18080524,0.0
2019-06-20,288.10733,-2.140828e-05,5.2125147e-06,0.0,1.2977051e-08,0.0,0.17464209,0.0
2019-06-21,285.5351,-1.9046887e-05,5.103921e-06,0.0,3.6581436e-09,0.0,0.1709057,0.0
2019-06-22,288.4707,-1.9438852e-05,5.0000717e-06,0.0,0.0,0.0,0.17050439,0.0
2019-06-23,290.62057,-1.9711768e-05,4.894114e-06,0.0,0.0,0.0,0.1697401,0.0
2019-06-24,289.92438,-1.7843726e-05,4.799349e-06,0.0,1.3093744e-07,0.0,0.16600624,0.0
2019-06-25,288.8048,-1.6432921e-05,4.7731073e-06,0.0,2.542508e-06,0.0,0.16067334,0.0
2019-06-26,286.55408,-1.7728611e-05,5.233633e-06,0.0,1.43844e-05,0.0,0.1596268,0.0
2019-06-27,283.8639,-1.878562e-05,5.180206e-06,0.0,1.7968234e-05,0.0,0.17625456,0.0
2019-06-28,285.1924,-1.7412647e-05,4.514579e-06,0.0,2.4111216e-06,0.0,0.18029638,0.0
2019-06-29,287.86987,-1.7994598e-05,4.394104e-06,0.0,1.8650608e-06,0.0,0.17813283,0.0
2019-06-30,289.61884,-1.7800778e-05,4.3720065e-06,0.0,1.9357574e-06,0.0,0.1761227,0.0
2019-07-01,290.20587,-1.7624356e-05,4.364204e-06,0.0,5.8993483e-06,0.0,0.1742879,0.0
2019-07-02,288.72092,-1.556041e-05,4.1377248e-06,0.0,1.1746446e-06,0.0,0.1724528,0.0
2019-07-03,288.24686,-1.5625446e-05,4.0687114e-06,0.0,1.7013539e-06,0.0,0.16965018,0.0
2019-07-04,289.84818,-1.5399914e-05,3.933488e-06,0.0,1.761738e-08,0.0,0.16830061,0.0
2019-07-05,292.59665,-1.589331e-05,3.8569906e-06,0.0,3.057226e-08,0.0,0.16467871,0.0
2019-07-06,292.49826,-1.5437734e-05,3.7896164e-06,0.0,5.0239635e-07,0.0,0.16228811,0.0
2019-07-07,290.4523,-1.4583332e-05,3.7018215e-06,0.0,7.744405e-08,0.0,0.15883183,0.0
2019-07-08,290.50986,-1.404689e-05,3.6316014e-06,0.0,7.370822e-08,0.0,0.15775184,0.0
2019-07-09,290.95853,-1.44240175e-05,4.020239e-06,0.0,7.2366984e-06,0.0,0.15810193,0.0
2019-07-10,291.50662,-1.37227125e-05,3.6261567e-06,0.0,2.9639627e-06,0.0,0.16453458,0.0
2019-07-11,292.92236,-1.4093936e-05,3.4215846e-06,0.0,8.101813e-09,0.0,0.16160917,0.0
2019-07-12,294.49536,-1.4761411e-05,3.3539407e-06,0.0,4.337234e-07,0.0,0.15992366,0.0
2019-07-13,294.3055,-1.4494783e-05,3.3121858e-06,0.0,7.7290133e-07,0.0,0.15726769,0.0
2019-07-14,293.52283,-1.531117e-05,3.3124857e-06,0.0,2.363107e-06,0.0,0.15848628,0.0
2019-07-15,292.53442,-1.4321521e-05,3.2152166e-06,0.0,1.6300465e-06,0.0,0.15794036,0.0
2019-07-16,292.0872,-1.2164305e-05,3.1155623e-06,0.0,7.833261e-07,0.0,0.15508366,0.0
2019-07-17,292.15164,-1.3451104e-05,3.0563197e-06,0.0,1.0836118e-08,0.0,0.15484458,0.0
2019-07-18,293.10425,-1.2794613e-05,3.0031706e-06,0.0,1.8979087e-07,0.0,0.15445974,0.0
2019-07-19,292.3493,-1.4308086e-05,2.9428118e-06,0.0,0.0,0.0,0.1551401,0.0
2019-07-20,292.60828,-1.5239862e-05,2.8919512e-06,0.0,0.0,0.0,0.15701589,0.0
2019-07-21,294.88663,-1.5108412e-05,2.8407264e-06,0.0,4.8187836e-08,0.0,0.15704456,0.0
2019-07-22,295.75922,-1.45182e-05,2.8165489e-06,0.0,7.6257936e-07,0.0,0.15442039,0.0
2019-07-23,295.1781,-1.4843373e-05,2.7530866e-06,0.0,8.532488e-07,0.0,0.15338765,0.0
2019-07-24,293.07874,-1.4137967e-05,2.692524e-06,0.0,2.2864661e-08,0.0,0.15171653,0.0
2019-07-25,295.47882,-1.4731788e-05,2.6403739e-06,0.0,2.4299966e-08,0.0,0.15454592,0.0
2019-07-26,296.70667,-1.4912296e-05,2.6143205e-06,0.0,6.9933213e-07,0.0,0.15534493,0.0
2019-07-27,295.2562,-1.5165271e-05,2.562396e-06,0.0,8.6528104e-07,0.0,0.15516192,0.0
2019-07-28,295.49704,-1.4875688e-05,2.502969e-06,0.0,0.0,0.0,0.15387268,0.0
2019-07-29,295.67606,-1.4268792e-05,2.4859476e-06,0.0,6.0539605e-07,0.0,0.15077603,0.0
2019-07-30,293.74683,-1.3873731e-05,2.4289309e-06,0.0,2.0759298e-07,0.0,0.15270263,0.0
2019-07-31,293.6734,-1.4683841e-05,2.3928196e-06,0.0,8.071066e-07,0.0,0.1526326,0.0
2019-08-01,294.15723,-1.4007575e-05,2.3747987e-06,0.0,7.2072294e-07,0.0,0.15131901,0.0
2019-08-02,293.65195,-1.3788847e-05,2.327259e-06,0.0,8.439311e-07,0.0,0.15203764,0.0
2019-08-03,294.788,-1.3401279e-05,2.2656986e-06,0.0,2.721118e-08,0.0,0.1506585,0.0
2019-08-04,295.88724,-1.3847582e-05,2.3711195e-06,0.0,2.6236985e-06,0.0,0.15333225,0.0
2019-08-05,295.8951,-1.4548695e-05,2.3504836e-06,0.0,3.859884e-06,0.0,0.15572225,0.0
2019-08-06,295.90323,-1.3749046e-05,2.2341312e-06,0.0,1.7579094e-06,0.0,0.15396506,0.0
2019-08-07,295.46085,-1.363362e-05,2.1574504e-06,0.0,8.094304e-07,0.0,0.15303949,0.0
2019-08-08,293.76602,-1.31073275e-05,2.1546473e-06,0.0,9.2043143e-07,0.0,0.15356316,0.0
2019-08-09,290.78253,-1.3848927e-05,2.6209877e-06,0.0,1.0757999e-05,0.0,0.15669967,0.0
2019-08-10,287.39545,-2.4353261e-05,5.7855978e-06,0.0,6.5806096e-05,0.0,0.18602382,0.0
2019-08-11,286.9434,-2.1345955e-05,2.9720627e-06,0.0,2.4427389e-05,0.0,0.23205219,0.0
2019-08-12,290.0969,-2.117629e-05,1.9809988e-06,0.0,2.6350053e-09,0.0,0.21920368,0.0
2019-08-13,292.5591,-2.0394878e-05,1.9532063e-06,0.0,4.8368487e-09,0.0,0.2041426,0.0
2019-08-14,294.45572,-1.7912977e-05,1.9300005e-06,0.0,0.0,0.0,0.19062051,0.0
2019-08-15,295.1202,-1.6712644e-05,1.896555e-06,0.0,1.136359e-08,0.0,0.18144023,0.0
2019-08-16,293.91763,-1.54382e-05,1.8637425e-06,0.0,0.0,0.0,0.17274234,0.0
2019-08-17,292.92245,-1.4396297e-05,1.8315952e-06,0.0,0.0,0.0,0.16777389,0.0
2019-08-18,293.98575,-1.3301148e-05,1.8011613e-06,0.0,1.0028348e-09,0.0,0.16544059,0.0
2019-08-19,293.61328,-1.2681002e-05,1.7767062e-06,0.0,3.070721e-07,0.0,0.16407286,0.0
2019-08-20,293.63986,-1.24611615e-05,1.7559751e-06,0.0,3.632223e-07,0.0,0.16276191,0.0
2019-08-21,292.4813,-1.2192274e-05,2.0142732e-06,0.0,9.005633e-06,0.0,0.16262208,0.0
2019-08-22,291.0026,-1.5716796e-05,1.9764798e-06,0.0,1.3556644e-05,0.0,0.17833723,0.0
2019-08-23,293.14954,-1.508149e-05,1.6845049e-06,0.0,0.0,0.0,0.17701276,0.0
2019-08-24,295.4833,-1.4737313e-05,1.6651883e-06,0.0,0.0,0.0,0.17406556,0.0
2019-08-25,294.4902,-1.4195218e-05,1.6399933e-06,0.0,4.3255914e-09,0.0,0.16991326,0.0
2019-08-26,294.67102,-1.4266185e-05,1.6219552e-06,0.0,0.0,0.0,0.16964933,0.0
2019-08-27,296.20728,-1.4696048e-05,1.6009766e-06,0.0,1.120636e-09,0.0,0.17075771,0.0
2019-08-28,296.46417,-1.6660804e-05,2.1008009e-06,0.0,1.1828668e-05,0.0,0.17427485,0.0
2019-08-29,294.88156,-1.6395872e-05,1.888728e-06,0.0,7.1529957e-06,0.0,0.18602133,0.0
2019-08-30,293.26453,-1.4787527e-05,1.5467098e-06,0.0,7.1551636e-07,0.0,0.1834548,0.0
